anio;mes;destino;tipo;energia
2022;7;Chile;Exportación;0,0
2022;7;Paraguay;Exportación;0,0
2022;7;Uruguay;Exportación;0,0
2022;7;Brasil;Importación;677580,5
2022;7;Chile;Importación;0,0
2022;7;Paraguay;Importación;10838,6
2022;7;Uruguay;Importación;437574,6
2022;8;Brasil;Exportación;0,0
2022;8;Chile;Exportación;0,0
2022;8;Paraguay;Exportación;3,5
2022;8;Uruguay;Exportación;0,0
2022;8;Brasil;Importación;620483,6
2022;8;Chile;Importación;0,0
2022;8;Paraguay;Importación;10781,6
2022;8;Uruguay;Importación;352619,0
2022;9;Brasil;Exportación;0,0
2022;9;Chile;Exportación;0,0
2022;9;Paraguay;Exportación;0,0
2022;9;Uruguay;Exportación;0,0
2022;9;Bolivia;Exportación;70,7
2022;9;Brasil;Importación;638398,9
2022;9;Chile;Importación;0,0
2022;9;Paraguay;Importación;3946,0
2022;9;Uruguay;Importación;68068,0
2022;9;Bolivia;Importación;1668,3
2022;10;Brasil;Exportación;0,0
2022;10;Chile;Exportación;0,0
2022;10;Paraguay;Exportación;0,0
2022;10;Uruguay;Exportación;1240,0
2022;10;Bolivia;Exportación;15,7
2022;10;Brasil;Importación;64357,7
2022;10;Chile;Importación;0,0
2022;10;Paraguay;Importación;1599,6
2022;10;Uruguay;Importación;0,0
2022;10;Bolivia;Importación;331,1
2022;11;Brasil;Exportación;0,0
2022;11;Chile;Exportación;0,0
2022;11;Paraguay;Exportación;0,0
2022;11;Uruguay;Exportación;0,0
2022;11;Bolivia;Exportación;0,0
2022;11;Brasil;Importación;264845,4
2022;11;Chile;Importación;0,0
2022;11;Paraguay;Importación;2592,7
2022;11;Uruguay;Importación;3014,0
2022;11;Bolivia;Importación;0,0
2022;12;Brasil;Exportación;0,0
2022;12;Chile;Exportación;0,0
2022;12;Paraguay;Exportación;0,0
2022;12;Uruguay;Exportación;0,0
2022;12;Bolivia;Exportación;0,0
2022;12;Brasil;Importación;851887,0
2022;12;Chile;Importación;5945,7
2022;12;Paraguay;Importación;12455,6
2022;12;Uruguay;Importación;9848,6
2022;12;Bolivia;Importación;0,0
